Delta,Worst-case ESS,Total Gradients,ESS per Gradient
0.25,86.93841689595305,16950,0.005129110141354163
0.3,188.04566227993325,19106,0.009842230832195816
0.35,176.93733497961955,19882,0.008899373049975835
0.4,265.34466038015614,21286,0.012465689203239507
0.44999999999999996,233.65194277337324,22314,0.010471091815603354
0.5,349.60315968460515,24522,0.014256714773860417
0.55,267.03490731644206,25186,0.01060251359153665
0.6,391.03641458287024,26686,0.01465324194644646
0.6499999999999999,307.7403623748452,28078,0.01096019525517648
0.7,359.9973869586805,29962,0.012015132065906165
0.75,316.8527181333145,30406,0.010420730057663438
0.7999999999999999,336.69564671532066,31946,0.010539524407291074
0.85,305.1841796612776,34438,0.008861843883537883
0.8999999999999999,391.67206912846905,45942,0.008525359564852838
0.95,345.24450255549016,61070,0.005653258597600953
