Delta,Worst-case ESS,Total Gradients,ESS per Gradient
0.25,20.315929295395282,1711528,1.187005371539074e-05
0.3,17.83119911903239,1719048,1.0372717410469277e-05
0.35,34.18830115442061,1809524,1.8893532859702665e-05
0.4,34.47206929275767,1872404,1.8410593703473006e-05
0.44999999999999996,46.89900577603848,2036742,2.3026483362172763e-05
0.5,40.98439219707937,2184712,1.8759631565661457e-05
0.55,39.08163898228258,2434028,1.6056363765035807e-05
0.6,40.55673520868268,2447790,1.656871513025328e-05
0.6499999999999999,40.30838759162011,2801888,1.4386152334290346e-05
0.7,38.99095481142054,2924374,1.333309447130242e-05
0.75,15.840953780219591,2899158,5.46398429482615e-06
0.7999999999999999,12.908073646698595,3555518,3.6304340595937345e-06
0.85,30.283679246710935,4030490,7.513647037137156e-06
0.8999999999999999,29.634230885969203,4859278,6.098484360427455e-06
0.95,19.77761410361875,6650222,2.9739780271423645e-06
