Model,Sampler,Lambda,Delta,h_minus_delta,Run
Multivariate Normal,NUTS,,0.25,-0.24716608497556242,0
Multivariate Normal,NUTS,,0.3,-0.14457072341261532,0
Multivariate Normal,NUTS,,0.35,-0.21307606269927112,0
Multivariate Normal,NUTS,,0.4,-0.3237421857935777,0
Multivariate Normal,NUTS,,0.44999999999999996,0.0698470295503435,0
Multivariate Normal,NUTS,,0.5,0.0011070925136462684,0
Multivariate Normal,NUTS,,0.55,0.16916459109260862,0
Multivariate Normal,NUTS,,0.6,0.1359679047108161,0
Multivariate Normal,NUTS,,0.6499999999999999,0.07723509524532979,0
Multivariate Normal,NUTS,,0.7,0.0960983173773089,0
Multivariate Normal,NUTS,,0.75,0.06567115932800649,0
Multivariate Normal,NUTS,,0.7999999999999999,0.05634802618528323,0
Multivariate Normal,NUTS,,0.85,0.042810501210247764,0
Multivariate Normal,NUTS,,0.8999999999999999,0.044950849593550224,0
Multivariate Normal,NUTS,,0.95,0.01618318101583094,0
Multivariate Normal,HMC $\epsilon L=1.5$,1.5,0.25,0.0024086223688705166,0
Multivariate Normal,HMC $\epsilon L=1.5$,1.5,0.35,-0.10473745459389763,0
Multivariate Normal,HMC $\epsilon L=1.5$,1.5,0.44999999999999996,0.018703380536710612,0
Multivariate Normal,HMC $\epsilon L=1.5$,1.5,0.55,0.1723727409803032,0
Multivariate Normal,HMC $\epsilon L=1.5$,1.5,0.6499999999999999,0.12529096956459085,0
Multivariate Normal,HMC $\epsilon L=1.5$,1.5,0.75,0.12060097314575102,0
Multivariate Normal,HMC $\epsilon L=1.5$,1.5,0.85,0.08121975730763553,0
Multivariate Normal,HMC $\epsilon L=1.5$,1.5,0.95,0.010717106666693565,0
Multivariate Normal,HMC $\epsilon L=3.4$,3.4,0.25,-0.13313171901192106,0
Multivariate Normal,HMC $\epsilon L=3.4$,3.4,0.35,-0.2136456704833776,0
Multivariate Normal,HMC $\epsilon L=3.4$,3.4,0.44999999999999996,-0.06845457528327198,0
Multivariate Normal,HMC $\epsilon L=3.4$,3.4,0.55,0.07944222679589097,0
Multivariate Normal,HMC $\epsilon L=3.4$,3.4,0.6499999999999999,0.20847982430683742,0
Multivariate Normal,HMC $\epsilon L=3.4$,3.4,0.75,0.09186914717845396,0
Multivariate Normal,HMC $\epsilon L=3.4$,3.4,0.85,0.011751372018607431,0
Multivariate Normal,HMC $\epsilon L=3.4$,3.4,0.95,0.016814846674978567,0
Multivariate Normal,HMC $\epsilon L=7.8$,7.8,0.25,-0.07354418037433327,0
Multivariate Normal,HMC $\epsilon L=7.8$,7.8,0.35,-0.13553957650496676,0
Multivariate Normal,HMC $\epsilon L=7.8$,7.8,0.44999999999999996,-0.13931938711516606,0
Multivariate Normal,HMC $\epsilon L=7.8$,7.8,0.55,0.2906128263314225,0
Multivariate Normal,HMC $\epsilon L=7.8$,7.8,0.6499999999999999,0.16675177255110862,0
Multivariate Normal,HMC $\epsilon L=7.8$,7.8,0.75,0.0601709022967748,0
Multivariate Normal,HMC $\epsilon L=7.8$,7.8,0.85,0.07661002157943497,0
Multivariate Normal,HMC $\epsilon L=7.8$,7.8,0.95,0.0005888274169287833,0
Multivariate Normal,HMC $\epsilon L=18$,18.0,0.25,-0.13596272241185722,0
Multivariate Normal,HMC $\epsilon L=18$,18.0,0.35,-0.24654746857047063,0
Multivariate Normal,HMC $\epsilon L=18$,18.0,0.44999999999999996,0.15114060463317658,0
Multivariate Normal,HMC $\epsilon L=18$,18.0,0.55,0.08836899913459129,0
Multivariate Normal,HMC $\epsilon L=18$,18.0,0.6499999999999999,0.16787153327287396,0
Multivariate Normal,HMC $\epsilon L=18$,18.0,0.75,0.13326848502090383,0
Multivariate Normal,HMC $\epsilon L=18$,18.0,0.85,0.05564674148772497,0
Multivariate Normal,HMC $\epsilon L=18$,18.0,0.95,0.014379697133343639,0
Multivariate Normal,HMC $\epsilon L=40$,40.0,0.25,-0.24999999998452968,0
Multivariate Normal,HMC $\epsilon L=40$,40.0,0.35,-0.16418657429990197,0
Multivariate Normal,HMC $\epsilon L=40$,40.0,0.44999999999999996,0.09987426631401775,0
